nombre_parroquia,nro_pobladores,superficie_parroquia,densidad_poblacional
MACUMA,7360,1269,6
TUUTINENTSA,5229,959,5
PUMPUENTSA,4225,1329,3
LOGROÑO,2604,55,47
YAUPI,2206,859,3
SHIMPIS,2674,265,10
PABLO SEXTO,2267,1389,2
SANTIAGO,5511,649,8
SAN JOSÉ DE MORONA,3774,532,7
TENA,39578,81,486
AHUANO,7476,429,17
CHONTAPUNTA,8721,963,9
PANO,2179,793,3
PUERTO MISAHUALLÍ,4868,336,15
PUERTO NAPO,7152,224,32
TÁLAG,3528,919,4
SAN JUAN DE MUYUNA,7314,162,45
ARCHIDONA,15316,979,16
COTUNDO,6879,1532,4
SAN PABLO DE USHPAYACU,5657,153,37
HATUN SUMAKU,2636,393,7
EL CHACO,5624,58,98
GONZALO DÍAZ DE PINEDA,519,193,0
LINARES,174,244,1
OYACACHI,697,819,1
SANTA ROSA,1653,308,5
SARDINAS,585,127,5
BAEZA,2256,161,14
COSANGA,471,481,1
CUYUJA,504,258,2
PAPALLACTA,635,315,2
SAN FRANCISCO DE BORJA,2474,90,28
SUMACO,132,286,0
CARLOS JULIO AROSEMENA TOLA,4647,501,9
PUYO,39473,92,430
CANELOS,2696,453,6
DIEZ DE AGOSTO,1402,95,15
FÁTIMA,1645,71,23
MONTALVO,4863,7949,1
POMONA,284,55,5
RÍO CORRIENTES,457,1098,0
RÍO TIGRE,1055,5643,0
SARAYACU,4072,2856,1
SIMÓN BOLÍVAR,7689,1027,7
TARQUI,14242,93,153
TENIENTE HUGO ORTIZ,1187,105,11
VERACRUZ,2361,170,14
EL TRIUNFO,1328,237,6
MERA,1909,371,5
MADRE TIERRA,3684,137,27
SHELL,9494,24,391
SANTA CLARA,3642,244,15
SAN JOSÉ,879,69,13
ARAJUNO,5690,639,9
CURARAY,3863,822,0
QUITO,1776364,364,4878
ALANGASÍ,34655,29,118
AMAGUAÑA,43235,56,767
ATAHUALPA,1446,70,21
CALACALÍ,4964,190,26
CALDERÓN,250877,78,3211
CONOCOTO,127815,45,2859
CUMBAYÁ,41819,21,1996
CHAVEZPAMBA,579,11,50
CHECA,11492,88,131
EL QUINCHE,18485,76,243
GUALEA,1704,121,14
GUANGOPOLO,4336,10,426
GUAYLLABAMBA,20584,56,371
LA MERCED,11438,32,362
LLANO CHICO,15113,8,2002
LLOA,1959,542,4
NANEGAL,2959,246,12
NANEGALITO,2776,125,22
NAYÓN,22065,18,1247
NONO,2938,213,14
PACTO,3898,347,11
PERUCHO,704,10,72
PIFO,23202,254,91
PÍNTAG,23240,487,48
POMASQUI,36883,24,1556
PUÉLLARO,5155,73,71
